id,name,country,group,national_group
197398,Pär HOLMGREN,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
124715,György HÖLVÉNYI,Hungary,Group of the European People's Party (Christian Democrats),Kereszténydemokrata Néppárt
122978,Alicia HOMS GINEL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
218349,Michiel HOOGEVEEN,Netherlands,European Conservatives and Reformists Group,JA21
5565,Brice HORTEFEUX,France,Group of the European People's Party (Christian Democrats),Les Républicains
197846,Ivo HRISTOV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party
96779,Danuta Maria HÜBNER,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197594,Laura HUHTASAARI,Finland,Identity and Democracy Group,Perussuomalaiset
58789,Jan HUITEMA,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie
197624,Ivars IJABS,Latvia,Renew Europe Group,Attīstībai/Par!
221463,Ladislav ILČIĆ,Croatia,European Conservatives and Reformists Group,Hrast – Pokret za uspješnu Hrvatsku
197392,Evin INCIR,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna
28266,Sophia IN 'T VELD,Netherlands,Renew Europe Group,Democraten 66
96740,Yannick JADOT,France,Group of the Greens/European Free Alliance,Europe Écologie
96772,Peter JAHR,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197837,Stasys JAKELIŪNAS,Lithuania,Group of the Greens/European Free Alliance,Independent
197516,Patryk JAKI,Poland,European Conservatives and Reformists Group,Solidarna Polska Zbigniewa Ziobro
124770,Jean-François JALKH,France,Identity and Democracy Group,Rassemblement national
189065,France JAMET,France,Identity and Democracy Group,Rassemblement national
28141,Lívia JÁRÓKA,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197517,Adam JARUBAS,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe
112747,Romana JERKOVIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske
125021,Agnes JONGERIUS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid
197627,Virginie JORON,France,Identity and Democracy Group,Rassemblement national
197447,Irena JOVEVA,Slovenia,Renew Europe Group,Lista Marjana Šarca
197840,Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai
197518,Krzysztof JURGIEL,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197767,Eugen JURZYCA,Slovakia,European Conservatives and Reformists Group,Sloboda a Solidarita
197626,Herve JUVIN,France,Identity and Democracy Group,Rassemblement national
125109,Eva KAILI,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Panhellenic Socialist Movement - Olive Tree
96771,Jarosław KALINOWSKI,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe
197491,Marina KALJURAND,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sotsiaaldemokraatlik Erakond
96934,Sandra KALNIETE,Latvia,Group of the European People's Party (Christian Democrats),"Partija ""VIENOTĪBA"""
96837,Petra KAMMEREVERT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197839,Radan KANEV,Bulgaria,Group of the European People's Party (Christian Democrats),Democrats for Strong Bulgaria
197469,Assita KANKO,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie
4246,Othmar KARAS,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei
197585,Pierre KARLESKIND,France,Renew Europe Group,La République en marche
197401,Karin KARLSBRO,Sweden,Renew Europe Group,Liberalerna
124887,Karol KARSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
191693,Elsi KATAINEN,Finland,Renew Europe Group,Suomen Keskusta
125068,Manolis KEFALOGIANNIS,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia
197818,Billy KELLEHER,Ireland,Renew Europe Group,Fianna Fáil Party
22858,Fabienne KELLER,France,Renew Europe Group,Agir - La Droite constructive
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96668,Seán KELLY,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party
197519,Beata KEMPA,Poland,European Conservatives and Reformists Group,Solidarna Polska Zbigniewa Ziobro
197415,Niyazi KIZILYÜREK,Cyprus,The Left group in the European Parliament - GUE/NGL,Progressive Party of Working People - Left - New Forces
197520,Izabela-Helena KLOC,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197528,Ondřej KNOTEK,Czechia,Renew Europe Group,ANO 2011
197570,Peter KOFOD,Denmark,Identity and Democracy Group,Dansk Folkeparti
197523,Łukasz KOHUT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Wiosna
197406,Arba KOKALARI,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna
197743,Petros KOKKALIS,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
197546,Marcel KOLAJA,Czechia,Group of the Greens/European Free Alliance,PIRÁTI
197438,Mislav KOLAKUŠIĆ,Croatia,Non-attached Members,-
23699,Kateřina KONEČNÁ,Czechia,The Left group in the European Parliament - GUE/NGL,Komunistická strana Čech a Moravy
197740,Athanasios KONSTANTINOU,Greece,Non-attached Members,Independent
197525,Ewa KOPACZ,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197530,Joanna KOPCIŃSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197445,Moritz KÖRNER,Germany,Renew Europe Group,Freie Demokratische Partei
96829,Ádám KÓSA,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
124822,Dietmar KÖSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
130833,Stelios KOULOGLOU,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
197699,Elena KOUNTOURA,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
118949,Ondřej KOVAŘÍK,Czechia,Renew Europe Group,ANO 2011
97968,Andrey KOVATCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
197481,Maximilian KRAH,Germany,Identity and Democracy Group,Alternative für Deutschland
124891,Zdzisław KRASNODĘBSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
1854,Constanze KREHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197532,Elżbieta KRUK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197843,Andrius KUBILIUS,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai
197395,Alice KUHNKE,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
197482,Joachim KUHS,Germany,Identity and Democracy Group,Alternative für Deutschland
124735,Miapetra KUMPULA-NATRI,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
28389,Zbigniew KUŹMIUK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197692,Stelios KYMPOUROPOULOS,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia
125063,Georgios KYRTSOS,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia
124866,Ilhan KYUCHYUK,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms
204421,Jean-Lin LACAPELLE,France,Identity and Democracy Group,Rassemblement national
197460,Sergey LAGODINSKY,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197737,Ioannis LAGOS,Greece,Non-attached Members,Independent
197697,Aurore LALUCQ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique
96648,Philippe LAMBERTS,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales
192635,Danilo Oscar LANCINI,Italy,Identity and Democracy Group,Lega
1909,Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
38398,Esther de LANGE,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl
197461,Katrin LANGENSIEPEN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197597,Hélène LAPORTE,France,Identity and Democracy Group,Rassemblement national
197698,Pierre LARROUTUROU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nouvelle Donne
124738,Gilles LEBRETON,France,Identity and Democracy Group,Rassemblement national
197686,Julie LECHANTEUX,France,Identity and Democracy Group,Rassemblement national
197393,David LEGA,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna
96796,Ryszard Antoni LEGUTKO,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197635,Maria-Manuel LEITÃO-MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
95074,Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl
23781,Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
204336,Miriam LEXMANN,Slovakia,Group of the European People's Party (Christian Democrats),Kresťanskodemokratické hnutie
23768,Bogusław LIBERADZKI,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej
1927,Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197483,Sylvia LIMMER,Germany,Identity and Democracy Group,Alternative für Deutschland
124808,Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197611,Elena LIZZI,Italy,Identity and Democracy Group,Lega
197494,Nathalie LOISEAU,France,Renew Europe Group,Liste Renaissance
96709,Morten LØKKEGAARD,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti"
125042,Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit dels Socialistes de Catalunya
96812,Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197777,Leopoldo LÓPEZ GIL,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
28399,Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
197721,César LUENA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96791,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
124996,Peter LUNDGREN,Sweden,European Conservatives and Reformists Group,Sverigedemokraterna
197458,Benoît LUTGEN,Belgium,Group of the European People's Party (Christian Democrats),Centre Démocrate Humaniste
124806,David McALLISTER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
205452,Chris MACMANUS,Ireland,The Left group in the European Parliament - GUE/NGL,Sinn Féin
197493,Jaak MADISON,Estonia,Identity and Democracy Group,Eesti Konservatiivne Rahvaerakond
197719,Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197592,Pierfrancesco MAJORINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197835,Aušra MALDEIKIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),Independent
197735,Adriana MALDONADO LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197653,Claudiu MANDA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
4560,Antonius MANDERS,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl
190713,Lukas MANDL,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei
197623,Thierry MARIANI,France,Identity and Democracy Group,Rassemblement national
33982,Marian-Jean MARINESCU,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
209896,Colm MARKEY,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party
197462,Erik MARQUARDT,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197638,Margarida MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
197634,Pedro MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
124828,Fulvio MARTUSCIELLO,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
96820,Marisa MATIAS,Portugal,The Left group in the European Parliament - GUE/NGL,Bloco de Esquerda
197441,Predrag Fred MATIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske
96936,Gabriel MATO,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
208722,Sara MATTHIEU,Belgium,Group of the Greens/European Free Alliance,Groen
24505,Emmanuel MAUREL,France,The Left group in the European Parliament - GUE/NGL,Gauche républicaine et socialiste
124691,Costas MAVRIDES,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party
197522,Radka MAXOVÁ,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent
98341,Eva MAYDELL,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
38511,Georg MAYER,Austria,Identity and Democracy Group,Freiheitliche Partei Österreichs
197538,Beata MAZUREK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197841,Liudas MAŽYLIS,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai
204418,Nora MEBAREK,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
197662,Vangelis MEIMARAKIS,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia
130256,Dace MELBĀRDE,Latvia,European Conservatives and Reformists Group,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK"""
197567,Karen MELCHIOR,Denmark,Renew Europe Group,Det Radikale Venstre
124765,Joëlle MÉLIN,France,Identity and Democracy Group,Rassemblement national
96978,Nuno MELO,Portugal,Group of the European People's Party (Christian Democrats),Partido do Centro Democrático Social-Partido Popular
118859,Roberta METSOLA,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista
193292,Tilly METZ,Luxembourg,Group of the Greens/European Free Alliance,Déi Gréng - Les Verts
190518,Jörg MEUTHEN,Germany,Identity and Democracy Group,Alternative für Deutschland
120478,Martina MICHELS,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
125128,Iskra MIHAYLOVA,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms
197497,Sven MIKSER,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sotsiaaldemokraatlik Erakond
197824,Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
28400,Francisco José MILLÁN MON,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
197540,Leszek MILLER,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej
212855,Alin MITUȚA,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate"
197805,Silvia MODIG,Finland,The Left group in the European Parliament - GUE/NGL,Vasemmistoliitto
124722,Csaba MOLNÁR,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció
124734,Cláudia MONTEIRO DE AGUIAR,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
197711,Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
72779,Nadine MORANO,France,Group of the European People's Party (Christian Democrats),Les Républicains
28347,Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
124799,Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197427,Marlene MORTLER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
197647,Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
197541,Andżelika Anna MOŻDŻANOWSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
124862,Ulrike MÜLLER,Germany,Renew Europe Group,Freie Wähler
124802,Siegfried MUREŞAN,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
190519,Caroline NAGTEGAAL,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie
125005,Javier NART,Spain,Renew Europe Group,Independiente
88882,Victor NEGRESCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
197464,Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96844,Norbert NEUSER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
124784,Dan NICA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
4289,Angelika NIEBLER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
124701,Luděk NIEDERMAYER,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 a Starostové
197465,Niklas NIENASS,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto
197734,Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,Communist Party of Greece
202112,Gheorghe-Vlad NISTOR,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
124836,Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
28294,Ljudmila NOVAK,Slovenia,Group of the European People's Party (Christian Democrats),Nova Slovenija – Krščanski demokrati
107212,Andrey NOVAKOV,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
197542,Janina OCHOJSKA,Poland,Group of the European People's Party (Christian Democrats),Independent
197432,Jan-Christoph OETJEN,Germany,Renew Europe Group,Freie Demokratische Partei
28288,Jan OLBRYCHT,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197838,Juozas OLEKAS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija
197687,Philippe OLIVIER,France,Identity and Democracy Group,Rassemblement national
30482,Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise
197889,Grace O'SULLIVAN,Ireland,Group of the Greens/European Free Alliance,Green Party
129073,Urmas PAET,Estonia,Renew Europe Group,Eesti Reformierakond
125038,Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,Delegación Ciudadanos Europeos
99283,Alessandro PANZA,Italy,Identity and Democracy Group,Lega
124692,Demetris PAPADAKIS,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Movement for Social Democracy EDEK
125093,Kostas PAPADAKIS,Greece,Non-attached Members,Communist Party of Greece
28586,Dimitrios PAPADIMOULIS,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
36392,Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
197466,Jutta PAULUS,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
124844,Piernicola PEDICINI,Italy,Group of the Greens/European Free Alliance,Independent
197563,Mauri PEKKARINEN,Finland,Renew Europe Group,Suomen Keskusta
197539,Mikuláš PEKSA,Czechia,Group of the Greens/European Free Alliance,PIRÁTI
197527,Anne-Sophie PELLETIER,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise
197845,Tsvetelina PENKOVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party
197754,Sandra PEREIRA,Portugal,The Left group in the European Parliament - GUE/NGL,Partido Comunista Português
197738,Lídia PEREIRA,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
197573,Kira Marie PETER-HANSEN,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti
124872,Morten PETERSEN,Denmark,Renew Europe Group,Det Radikale Venstre
124846,Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
112744,Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske
28224,Markus PIEPER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
40599,Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus
197619,Sabrina PIGNEDOLI,Italy,Non-attached Members,Movimento 5 Stelle
136236,João PIMENTA LOPES,Portugal,The Left group in the European Parliament - GUE/NGL,Partido Comunista Português
197828,Manu PINEDA,Spain,The Left group in the European Parliament - GUE/NGL,Izquierda Unida
197629,Maxette PIRBAKAS,France,Identity and Democracy Group,Rassemblement national
197590,Giuliano PISAPIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent
197663,Dragoş PÎSLARU,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate"
197732,Manuel PIZARRO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
38595,Rovana PLUMB,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
124704,Stanislav POLČÁK,Czechia,Group of the European People's Party (Christian Democrats),Starostové a nezávisli
197404,Jessica POLFJÄRD,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna
197765,Peter POLLÁK,Slovakia,Group of the European People's Party (Christian Democrats),Obyčajní ľudia a nezávislé osobnosti
204443,Clara PONSATÍ OBIOLS,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa
96801,Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
125706,Jiří POSPÍŠIL,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 a Starostové
197820,Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
202351,Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa
197764,Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,Slovak PATRIOT
124850,Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
188945,Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197868,Samira RAFAELA,Netherlands,Renew Europe Group,Democraten 66
197544,Elżbieta RAFALSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
96903,Paulo RANGEL,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
197790,Luisa REGIMENTI,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
96998,Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs
197681,Sira REGO,Spain,The Left group in the European Parliament - GUE/NGL,Izquierda Unida
197488,Guido REIL,Germany,Identity and Democracy Group,Alternative für Deutschland
103381,Terry REINTKE,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197413,Karlo RESSLER,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica
218347,Thijs REUTEN,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid
197832,Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,Esquerra Republicana de Catalunya
4253,Frédérique RIES,Belgium,Renew Europe Group,Mouvement Réformateur
197787,Antonio Maria RINALDI,Italy,Identity and Democracy Group,Lega
206158,Manuela RIPA,Germany,Group of the Greens/European Free Alliance,Ökologisch-Demokratische Partei
96885,Dominique RIQUET,France,Renew Europe Group,Mouvement Radical Social-Libéral
96743,Michèle RIVASI,France,Group of the Greens/European Free Alliance,Europe Écologie
197615,Jérôme RIVIÈRE,France,Identity and Democracy Group,Rassemblement national
197801,Franco ROBERTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
125043,Inma RODRÍGUEZ-PIÑERO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197785,Eugenia RODRÍGUEZ PALOP,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS
4344,María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía
197584,Sándor RÓNAI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció
197792,Daniela RONDINELLI,Italy,Non-attached Members,Movimento 5 Stelle
197776,Rob ROOKEN,Netherlands,European Conservatives and Reformists Group,JA21
204733,Dorien ROOKMAKER,Netherlands,Non-attached Members,Meer Directe Democratie
197709,Robert ROOS,Netherlands,European Conservatives and Reformists Group,JA21
197506,Caroline ROOSE,France,Group of the Greens/European Free Alliance,Europe Écologie
125214,Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,Lietuvos valstiečių ir žaliųjų sąjunga
204413,Marcos ROS SEMPERE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197690,André ROUGÉ,France,Identity and Democracy Group,Rassemblement national
197773,Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,Staatkundig Gereformeerde Partij
127096,Domènec RUIZ DEVESA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197545,Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
204368,Christian SAGARTZ,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei
125670,Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
197722,Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
24594,Anne SANDER,France,Group of the European People's Party (Christian Democrats),Les Républicains
124781,Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista
197650,Isabel SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
197578,Silvia SARDONE,Italy,Identity and Democracy Group,Lega
112611,Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus
28297,Jacek SARYUSZ-WOLSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
96864,David Maria SASSOLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197500,Mounir SATOURI,France,Group of the Greens/European Free Alliance,Europe Écologie
37312,Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet
213330,Ernő SCHALLER-BAROSS,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197670,Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs
190517,Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
